From,To,Tolerance,Upper,Lower
140,160,r4,0.077,0.065
160,180,r4,0.08,0.068
180,200,r4,0.091,0.077
200,225,r4,0.094,0.08
225,250,r4,0.098,0.084
250,280,r4,0.11,0.094
280,315,r4,0.114,0.098
315,355,r4,0.126,0.108
355,400,r4,0.132,0.114
400,450,r4,0.146,0.126
450,500,r4,0.152,0.132
0,3,r5,0.014,0.01
3,6,r5,0.02,0.015
6,10,r5,0.025,0.019
10,18,r5,0.031,0.023
18,30,r5,0.037,0.028
30,50,r5,0.045,0.034
50,65,r5,0.054,0.041
65,80,r5,0.056,0.043
80,100,r5,0.066,0.051
100,120,r5,0.069,0.054
120,140,r5,0.081,0.063
140,160,r5,0.083,0.065
160,180,r5,0.086,0.068
180,200,r5,0.097,0.077
200,225,r5,0.1,0.08
225,250,r5,0.104,0.084
250,280,r5,0.117,0.094
280,315,r5,0.121,0.098
315,355,r5,0.133,0.108
355,400,r5,0.139,0.114
400,450,r5,0.153,0.126
450,500,r5,0.159,0.132
0,3,r6,0.016,0.01
3,6,r6,0.023,0.015
6,10,r6,0.028,0.019
10,18,r6,0.034,0.023
18,30,r6,0.041,0.028
30,50,r6,0.05,0.034
50,65,r6,0.06,0.041
65,80,r6,0.062,0.043
80,100,r6,0.073,0.051
100,120,r6,0.076,0.054
120,140,r6,0.088,0.063
140,160,r6,0.09,0.065
160,180,r6,0.093,0.068
180,200,r6,0.106,0.077
200,225,r6,0.109,0.08
225,250,r6,0.113,0.084
250,280,r6,0.126,0.094
280,315,r6,0.13,0.098
315,355,r6,0.144,0.108
355,400,r6,0.15,0.114
400,450,r6,0.166,0.126
450,500,r6,0.172,0.132
500,560,r6,0.194,0.15
560,630,r6,0.199,0.155
630,710,r6,0.225,0.175
710,800,r6,0.235,0.185
800,900,r6,0.266,0.21
900,1000,r6,0.276,0.22
1000,1120,r6,0.316,0.25
1120,1250,r6,0.326,0.26
1250,1400,r6,0.378,0.3
1400,1600,r6,0.408,0.33
1600,1800,r6,0.462,0.37
1800,2000,r6,0.492,0.4
2000,2240,r6,0.55,0.44
2240,2500,r6,0.57,0.46
2500,2800,r6,0.685,0.55
2800,3150,r6,0.715,0.58
0,3,r7,0.02,0.01
3,6,r7,0.027,0.015
6,10,r7,0.034,0.019
10,18,r7,0.041,0.023
18,30,r7,0.049,0.028
30,50,r7,0.059,0.034
50,65,r7,0.071,0.041
65,80,r7,0.073,0.043
80,100,r7,0.086,0.051
100,120,r7,0.089,0.054
120,140,r7,0.103,0.063
140,160,r7,0.105,0.065
160,180,r7,0.108,0.068
180,200,r7,0.123,0.077
200,225,r7,0.126,0.08
225,250,r7,0.13,0.084
250,280,r7,0.146,0.094
280,315,r7,0.15,0.098
315,355,r7,0.165,0.108
355,400,r7,0.171,0.114
400,450,r7,0.189,0.126
450,500,r7,0.195,0.132
500,560,r7,0.22,0.15
560,630,r7,0.225,0.155
630,710,r7,0.255,0.175
710,800,r7,0.265,0.185
800,900,r7,0.3,0.21
900,1000,r7,0.31,0.22
1000,1120,r7,0.355,0.25
1120,1250,r7,0.365,0.26
1250,1400,r7,0.425,0.3
1400,1600,r7,0.455,0.33
1600,1800,r7,0.52,0.37
1800,2000,r7,0.55,0.4
2000,2240,r7,0.615,0.44
2240,2500,r7,0.635,0.46
2500,2800,r7,0.76,0.55
2800,3150,r7,0.79,0.58
0,3,r8,0.024,0.01
3,6,r8,0.033,0.015
6,10,r8,0.041,0.019
10,18,r8,0.05,0.023
18,30,r8,0.061,0.028
30,50,r8,0.073,0.034
50,65,r8,0.087,0.041
65,80,r8,0.089,0.043
80,100,r8,0.105,0.051
100,120,r8,0.108,0.054
120,140,r8,0.126,0.063
140,160,r8,0.128,0.065
160,180,r8,0.131,0.068
180,200,r8,0.149,0.077
200,225,r8,0.152,0.08
225,250,r8,0.156,0.084
250,280,r8,0.175,0.094
280,315,r8,0.179,0.098
315,355,r8,0.197,0.108
355,400,r8,0.203,0.114
400,450,r8,0.223,0.126
450,500,r8,0.229,0.132
500,560,r8,0.26,0.15
560,630,r8,0.265,0.155
630,710,r8,0.3,0.175
710,800,r8,0.31,0.185
800,900,r8,0.35,0.21
900,1000,r8,0.36,0.22
1000,1120,r8,0.415,0.25
1120,1250,r8,0.425,0.26
1250,1400,r8,0.495,0.3
1400,1600,r8,0.525,0.33
1600,1800,r8,0.6,0.37
1800,2000,r8,0.63,0.4
2000,2240,r8,0.72,0.44
2240,2500,r8,0.74,0.46
2500,2800,r8,0.88,0.55
2800,3150,r8,0.91,0.58
0,3,r9,0.035,0.01
3,6,r9,0.045,0.015
6,10,r9,0.055,0.019
10,18,r9,0.066,0.023
18,30,r9,0.08,0.028
30,50,r9,0.096,0.034
0,3,s10,0.054,0.014
3,6,s10,0.067,0.019
6,10,s10,0.081,0.023
10,18,s10,0.098,0.028
18,30,s10,0.119,0.035
30,50,s10,0.143,0.043
0,3,s3,0.016,0.014
3,6,s3,0.0215,0.019
6,10,s3,0.0255,0.023
10,18,s3,0.031,0.028
18,30,s3,0.039,0.035
30,50,s3,0.047,0.043
0,3,s4,0.017,0.014
3,6,s4,0.023,0.019
6,10,s4,0.027,0.023
10,18,s4,0.033,0.028
18,30,s4,0.041,0.035
30,50,s4,0.05,0.043
50,65,s4,0.061,0.053
65,80,s4,0.067,0.059
80,100,s4,0.081,0.071
100,120,s4,0.089,0.079
120,140,s4,0.104,0.092
140,160,s4,0.112,0.1
160,180,s4,0.12,0.108
180,200,s4,0.136,0.122
200,225,s4,0.144,0.13
225,250,s4,0.154,0.14
250,280,s4,0.174,0.158
280,315,s4,0.186,0.17
315,355,s4,0.208,0.19
355,400,s4,0.226,0.208
400,450,s4,0.252,0.232
450,500,s4,0.272,0.252
0,3,s5,0.018,0.014
3,6,s5,0.024,0.019
6,10,s5,0.029,0.023
10,18,s5,0.036,0.028
18,30,s5,0.044,0.035
30,50,s5,0.054,0.043
50,65,s5,0.066,0.053
65,80,s5,0.072,0.059
80,100,s5,0.086,0.071
100,120,s5,0.094,0.079
120,140,s5,0.11,0.092
140,160,s5,0.118,0.1
160,180,s5,0.126,0.108
180,200,s5,0.142,0.122
200,225,s5,0.15,0.13
225,250,s5,0.16,0.14
250,280,s5,0.181,0.158
280,315,s5,0.193,0.17
315,355,s5,0.215,0.19
355,400,s5,0.233,0.208
400,450,s5,0.259,0.232
450,500,s5,0.279,0.252
0,3,s6,0.02,0.014
3,6,s6,0.027,0.019
6,10,s6,0.032,0.023
10,18,s6,0.039,0.028
18,30,s6,0.048,0.035
30,50,s6,0.059,0.043
50,65,s6,0.072,0.053
65,80,s6,0.078,0.059
80,100,s6,0.093,0.071
100,120,s6,0.101,0.079
120,140,s6,0.117,0.092
140,160,s6,0.125,0.1
160,180,s6,0.133,0.108
180,200,s6,0.151,0.122
200,225,s6,0.159,0.13
225,250,s6,0.169,0.14
250,280,s6,0.19,0.158
280,315,s6,0.202,0.17
315,355,s6,0.226,0.19
355,400,s6,0.244,0.208
400,450,s6,0.272,0.232
450,500,s6,0.292,0.252
500,560,s6,0.324,0.28
560,630,s6,0.354,0.31
630,710,s6,0.39,0.34
710,800,s6,0.43,0.38
800,900,s6,0.486,0.43
900,1000,s6,0.526,0.47
1000,1120,s6,0.586,0.52
1120,1250,s6,0.646,0.58
1250,1400,s6,0.718,0.64
1400,1600,s6,0.798,0.72
1600,1800,s6,0.912,0.82
1800,2000,s6,1.012,0.92
2000,2240,s6,1.11,1.0
2240,2500,s6,1.21,1.1
2500,2800,s6,1.385,1.25
2800,3150,s6,1.535,1.4
0,3,s7,0.024,0.014
3,6,s7,0.031,0.019
6,10,s7,0.038,0.023
10,18,s7,0.046,0.028
18,30,s7,0.056,0.035
30,50,s7,0.068,0.043
50,65,s7,0.083,0.053
65,80,s7,0.089,0.059
80,100,s7,0.106,0.071
100,120,s7,0.114,0.079
120,140,s7,0.132,0.092
140,160,s7,0.14,0.1
160,180,s7,0.148,0.108
180,200,s7,0.168,0.122
200,225,s7,0.176,0.13
225,250,s7,0.186,0.14
250,280,s7,0.21,0.158
280,315,s7,0.222,0.17
315,355,s7,0.247,0.19
355,400,s7,0.265,0.208
400,450,s7,0.295,0.232
450,500,s7,0.315,0.252
500,560,s7,0.35,0.28
560,630,s7,0.38,0.31
630,710,s7,0.42,0.34
710,800,s7,0.46,0.38
800,900,s7,0.52,0.43
900,1000,s7,0.56,0.47
1000,1120,s7,0.625,0.52
1120,1250,s7,0.685,0.58
1250,1400,s7,0.765,0.64
1400,1600,s7,0.845,0.72
1600,1800,s7,0.97,0.82
1800,2000,s7,1.07,0.92
2000,2240,s7,1.175,1.0
2240,2500,s7,1.275,1.1
2500,2800,s7,1.46,1.25
2800,3150,s7,1.61,1.4
0,3,s8,0.028,0.014
3,6,s8,0.037,0.019
6,10,s8,0.045,0.023
10,18,s8,0.055,0.028
18,30,s8,0.068,0.035
30,50,s8,0.082,0.043
50,65,s8,0.099,0.053
65,80,s8,0.105,0.059
80,100,s8,0.125,0.071
100,120,s8,0.133,0.079
120,140,s8,0.155,0.092
140,160,s8,0.163,0.1
160,180,s8,0.171,0.108
180,200,s8,0.194,0.122
200,225,s8,0.202,0.13
225,250,s8,0.212,0.14
250,280,s8,0.239,0.158
280,315,s8,0.251,0.17
315,355,s8,0.279,0.19
355,400,s8,0.297,0.208
400,450,s8,0.329,0.232
450,500,s8,0.349,0.252
500,560,s8,0.39,0.28
560,630,s8,0.42,0.31
630,710,s8,0.465,0.34
710,800,s8,0.505,0.38
800,900,s8,0.57,0.43
900,1000,s8,0.61,0.47
1000,1120,s8,0.685,0.52
1120,1250,s8,0.745,0.58
1250,1400,s8,0.835,0.64
1400,1600,s8,0.915,0.72
1600,1800,s8,1.05,0.82
1800,2000,s8,1.15,0.92
2000,2240,s8,1.28,1.0
2240,2500,s8,1.38,1.1
2500,2800,s8,1.58,1.25
2800,3150,s8,1.73,1.4
0,3,s9,0.039,0.014
3,6,s9,0.049,0.019
6,10,s9,0.059,0.023
10,18,s9,0.071,0.028
18,30,s9,0.087,0.035
30,50,s9,0.105,0.043
50,65,s9,0.127,0.053
65,80,s9,0.133,0.059
80,100,s9,0.158,0.071
100,120,s9,0.166,0.079
120,140,s9,0.192,0.092
140,160,s9,0.2,0.1
160,180,s9,0.208,0.108
180,200,s9,0.237,0.122
200,225,s9,0.245,0.13
225,250,s9,0.255,0.14
250,280,s9,0.288,0.158
280,315,s9,0.3,0.17
315,355,s9,0.33,0.19
355,400,s9,0.348,0.208
400,450,s9,0.387,0.232
450,500,s9,0.407,0.252
24,30,t5,0.05,0.041
30,40,t5,0.059,0.048
40,50,t5,0.065,0.054
50,65,t5,0.079,0.066
65,80,t5,0.088,0.075
80,100,t5,0.106,0.091
100,120,t5,0.119,0.104
120,140,t5,0.14,0.122
140,160,t5,0.152,0.134
160,180,t5,0.164,0.146
180,200,t5,0.186,0.166
200,225,t5,0.2,0.18
225,250,t5,0.216,0.196
250,280,t5,0.241,0.218
280,315,t5,0.263,0.24
315,355,t5,0.293,0.268
355,400,t5,0.319,0.294
400,450,t5,0.357,0.33
450,500,t5,0.387,0.36
24,30,t6,0.054,0.041
30,40,t6,0.064,0.048
40,50,t6,0.07,0.054
50,65,t6,0.085,0.066
65,80,t6,0.094,0.075
80,100,t6,0.113,0.091
100,120,t6,0.126,0.104
120,140,t6,0.147,0.122
140,160,t6,0.159,0.134
160,180,t6,0.171,0.146
180,200,t6,0.195,0.166
200,225,t6,0.209,0.18
225,250,t6,0.225,0.196
250,280,t6,0.25,0.218
280,315,t6,0.272,0.24
315,355,t6,0.304,0.268
355,400,t6,0.33,0.294
400,450,t6,0.37,0.33
450,500,t6,0.4,0.36
500,560,t6,0.444,0.4
560,630,t6,0.494,0.45
630,710,t6,0.55,0.5
710,800,t6,0.61,0.56
800,900,t6,0.676,0.62
900,1000,t6,0.736,0.68
1000,1120,t6,0.846,0.78
1120,1250,t6,0.906,0.84
1250,1400,t6,1.038,0.96
1400,1600,t6,1.128,1.05
1600,1800,t6,1.292,1.2
1800,2000,t6,1.442,1.35
2000,2240,t6,1.61,1.5
2240,2500,t6,1.76,1.65
2500,2800,t6,2.035,1.9
2800,3150,t6,2.235,2.1
24,30,t7,0.062,0.041
30,40,t7,0.073,0.048
40,50,t7,0.079,0.054
50,65,t7,0.096,0.066
65,80,t7,0.105,0.075
80,100,t7,0.126,0.091
100,120,t7,0.139,0.104
120,140,t7,0.162,0.122
140,160,t7,0.174,0.134
160,180,t7,0.186,0.146
180,200,t7,0.212,0.166
200,225,t7,0.226,0.18
225,250,t7,0.242,0.196
250,280,t7,0.27,0.218
280,315,t7,0.292,0.24
315,355,t7,0.325,0.268
355,400,t7,0.351,0.294
400,450,t7,0.393,0.33
450,500,t7,0.423,0.36
500,560,t7,0.47,0.4
560,630,t7,0.52,0.45
630,710,t7,0.58,0.5
710,800,t7,0.64,0.56
800,900,t7,0.71,0.62
900,1000,t7,0.77,0.68
1000,1120,t7,0.885,0.78
1120,1250,t7,0.945,0.84
1250,1400,t7,1.085,0.96
1400,1600,t7,1.175,1.05
1600,1800,t7,1.35,1.2
1800,2000,t7,1.5,1.35
2000,2240,t7,1.675,1.5
2240,2500,t7,1.825,1.65
2500,2800,t7,2.11,1.9
2800,3150,t7,2.31,2.1
24,30,t8,0.074,0.041
30,40,t8,0.087,0.048
40,50,t8,0.093,0.054
50,65,t8,0.112,0.066
65,80,t8,0.121,0.075
80,100,t8,0.145,0.091
100,120,t8,0.158,0.104
120,140,t8,0.185,0.122
140,160,t8,0.197,0.134
160,180,t8,0.209,0.146
180,200,t8,0.238,0.166
200,225,t8,0.252,0.18
225,250,t8,0.268,0.196
250,280,t8,0.299,0.218
280,315,t8,0.321,0.24
315,355,t8,0.357,0.268
355,400,t8,0.383,0.294
400,450,t8,0.427,0.33
450,500,t8,0.457,0.36
0,3,u5,0.022,0.018
3,6,u5,0.028,0.023
6,10,u5,0.034,0.028
10,18,u5,0.041,0.033
18,24,u5,0.05,0.041
24,30,u5,0.057,0.048
30,40,u5,0.071,0.06
40,50,u5,0.081,0.07
50,65,u5,0.1,0.087
65,80,u5,0.115,0.102
80,100,u5,0.139,0.124
100,120,u5,0.159,0.144
120,140,u5,0.188,0.17
140,160,u5,0.208,0.19
160,180,u5,0.228,0.21
180,200,u5,0.256,0.236
200,225,u5,0.278,0.258
225,250,u5,0.304,0.284
250,280,u5,0.338,0.315
280,315,u5,0.373,0.35
315,355,u5,0.415,0.39
355,400,u5,0.46,0.435
400,450,u5,0.517,0.49
450,500,u5,0.567,0.54
0,3,u6,0.024,0.018
3,6,u6,0.031,0.023
6,10,u6,0.037,0.028
10,18,u6,0.044,0.033
18,24,u6,0.054,0.041
24,30,u6,0.061,0.048
30,40,u6,0.076,0.06
40,50,u6,0.086,0.07
50,65,u6,0.106,0.087
65,80,u6,0.121,0.102
80,100,u6,0.146,0.124
100,120,u6,0.166,0.144
120,140,u6,0.195,0.17
140,160,u6,0.215,0.19
160,180,u6,0.235,0.21
180,200,u6,0.265,0.236
200,225,u6,0.287,0.258
225,250,u6,0.313,0.284
250,280,u6,0.347,0.315
280,315,u6,0.382,0.35
315,355,u6,0.426,0.39
355,400,u6,0.471,0.435
400,450,u6,0.53,0.49
450,500,u6,0.58,0.54
500,560,u6,0.644,0.6
560,630,u6,0.704,0.66
630,710,u6,0.79,0.74
710,800,u6,0.89,0.84
800,900,u6,0.996,0.94
900,1000,u6,1.106,1.05
1000,1120,u6,1.216,1.15
1120,1250,u6,1.366,1.3
1250,1400,u6,1.528,1.45
1400,1600,u6,1.678,1.6
1600,1800,u6,1.942,1.85
1800,2000,u6,2.092,2.0
2000,2240,u6,2.41,2.3
2240,2500,u6,2.61,2.5
2500,2800,u6,3.035,2.9
2800,3150,u6,3.335,3.2
0,3,u7,0.028,0.018
3,6,u7,0.035,0.023
6,10,u7,0.043,0.028
10,18,u7,0.051,0.033
18,24,u7,0.062,0.041
24,30,u7,0.069,0.048
30,40,u7,0.085,0.06
40,50,u7,0.095,0.07
50,65,u7,0.117,0.087
65,80,u7,0.132,0.102
80,100,u7,0.159,0.124
100,120,u7,0.179,0.144
120,140,u7,0.21,0.17
140,160,u7,0.23,0.19
160,180,u7,0.25,0.21
180,200,u7,0.282,0.236
200,225,u7,0.304,0.258
225,250,u7,0.33,0.284
250,280,u7,0.367,0.315
280,315,u7,0.402,0.35
315,355,u7,0.447,0.39
355,400,u7,0.492,0.435
400,450,u7,0.553,0.49
450,500,u7,0.603,0.54
500,560,u7,0.67,0.6
560,630,u7,0.73,0.66
630,710,u7,0.82,0.74
710,800,u7,0.92,0.84
800,900,u7,1.03,0.94
900,1000,u7,1.14,1.05
1000,1120,u7,1.255,1.15
1120,1250,u7,1.405,1.3
1250,1400,u7,1.575,1.45
1400,1600,u7,1.725,1.6
1600,1800,u7,2.0,1.85
1800,2000,u7,2.15,2.0
2000,2240,u7,2.475,2.3
2240,2500,u7,2.675,2.5
2500,2800,u7,3.11,2.9
2800,3150,u7,3.41,3.2
0,3,u8,0.032,0.018
3,6,u8,0.041,0.023
6,10,u8,0.05,0.028
10,18,u8,0.06,0.033
18,24,u8,0.074,0.041
24,30,u8,0.081,0.048
30,40,u8,0.099,0.06
40,50,u8,0.109,0.07
50,65,u8,0.133,0.087
65,80,u8,0.148,0.102
80,100,u8,0.178,0.124
100,120,u8,0.198,0.144
120,140,u8,0.233,0.17
140,160,u8,0.253,0.19
160,180,u8,0.273,0.21
180,200,u8,0.308,0.236
200,225,u8,0.33,0.258
225,250,u8,0.356,0.284
250,280,u8,0.396,0.315
280,315,u8,0.431,0.35
315,355,u8,0.479,0.39
355,400,u8,0.524,0.435
400,450,u8,0.587,0.49
450,500,u8,0.637,0.54
500,560,u8,0.71,0.6
560,630,u8,0.77,0.66
630,710,u8,0.865,0.74
710,800,u8,0.965,0.84
800,900,u8,1.08,0.94
900,1000,u8,1.19,1.05
1000,1120,u8,1.315,1.15
1120,1250,u8,1.465,1.3
1250,1400,u8,1.645,1.45
1400,1600,u8,1.795,1.6
1600,1800,u8,2.08,1.85
1800,2000,u8,2.23,2.0
2000,2240,u8,2.58,2.3
2240,2500,u8,2.78,2.5
2500,2800,u8,3.23,2.9
2800,3150,u8,3.53,3.2
0,3,u9,0.043,0.018
3,6,u9,0.053,0.023
6,10,u9,0.064,0.028
10,18,u9,0.076,0.033
18,24,u9,0.093,0.041
24,30,u9,0.1,0.048
30,40,u9,0.122,0.06
40,50,u9,0.132,0.07
50,65,u9,0.161,0.087
65,80,u9,0.176,0.102
80,100,u9,0.211,0.124
100,120,u9,0.231,0.144
120,140,u9,0.27,0.17
140,160,u9,0.29,0.19
160,180,u9,0.31,0.21
180,200,u9,0.351,0.236
200,225,u9,0.373,0.258
225,250,u9,0.399,0.284
250,280,u9,0.445,0.315
280,315,u9,0.48,0.35
315,355,u9,0.53,0.39
355,400,u9,0.575,0.435
400,450,u9,0.645,0.49
450,500,u9,0.695,0.54
14,18,v5,0.047,0.039
18,24,v5,0.056,0.047
24,30,v5,0.064,0.055
30,40,v5,0.079,0.068
40,50,v5,0.092,0.081
50,65,v5,0.115,0.102
65,80,v5,0.133,0.12
80,100,v5,0.161,0.146
100,120,v5,0.187,0.172
120,140,v5,0.22,0.202
140,160,v5,0.246,0.228
160,180,v5,0.27,0.252
180,200,v5,0.304,0.284
200,225,v5,0.33,0.31
225,250,v5,0.36,0.34
250,280,v5,0.408,0.385
280,315,v5,0.448,0.425
315,355,v5,0.5,0.475
355,400,v5,0.555,0.53
400,450,v5,0.622,0.595
450,500,v5,0.687,0.66
14,18,v6,0.05,0.039
18,24,v6,0.06,0.047
24,30,v6,0.068,0.055
30,40,v6,0.084,0.068
40,50,v6,0.097,0.081
50,65,v6,0.121,0.102
65,80,v6,0.139,0.12
80,100,v6,0.168,0.146
100,120,v6,0.194,0.172
120,140,v6,0.227,0.202
140,160,v6,0.253,0.228
160,180,v6,0.277,0.252
180,200,v6,0.313,0.284
200,225,v6,0.339,0.31
225,250,v6,0.369,0.34
250,280,v6,0.417,0.385
280,315,v6,0.457,0.425
315,355,v6,0.511,0.475
355,400,v6,0.566,0.53
400,450,v6,0.635,0.595
450,500,v6,0.7,0.66
14,18,v7,0.057,0.039
18,24,v7,0.068,0.047
24,30,v7,0.076,0.055
30,40,v7,0.093,0.068
40,50,v7,0.106,0.081
50,65,v7,0.132,0.102
65,80,v7,0.15,0.12
80,100,v7,0.181,0.146
100,120,v7,0.207,0.172
120,140,v7,0.242,0.202
140,160,v7,0.268,0.228
160,180,v7,0.292,0.252
180,200,v7,0.33,0.284
200,225,v7,0.356,0.31
225,250,v7,0.386,0.34
250,280,v7,0.437,0.385
280,315,v7,0.477,0.425
315,355,v7,0.532,0.475
355,400,v7,0.587,0.53
400,450,v7,0.658,0.595
450,500,v7,0.723,0.66
14,18,v8,0.066,0.039
18,24,v8,0.08,0.047
24,30,v8,0.088,0.055
30,40,v8,0.107,0.068
40,50,v8,0.12,0.081
50,65,v8,0.148,0.102
65,80,v8,0.166,0.12
80,100,v8,0.2,0.146
100,120,v8,0.226,0.172
120,140,v8,0.265,0.202
140,160,v8,0.291,0.228
160,180,v8,0.315,0.252
180,200,v8,0.356,0.284
200,225,v8,0.382,0.31
225,250,v8,0.412,0.34
250,280,v8,0.466,0.385
280,315,v8,0.506,0.425
315,355,v8,0.564,0.475
355,400,v8,0.619,0.53
400,450,v8,0.692,0.595
450,500,v8,0.757,0.66
0,3,x10,0.06,0.02
3,6,x10,0.076,0.028
6,10,x10,0.092,0.034
10,14,x10,0.11,0.04
14,18,x10,0.115,0.045
18,24,x10,0.138,0.054
24,30,x10,0.148,0.064
30,40,x10,0.18,0.08
40,50,x10,0.197,0.097
50,65,x10,0.242,0.122
65,80,x10,0.266,0.146
80,100,x10,0.318,0.178
100,120,x10,0.35,0.21
120,140,x10,0.408,0.248
140,160,x10,0.44,0.28
160,180,x10,0.47,0.31
180,200,x10,0.535,0.35
200,225,x10,0.57,0.385
225,250,x10,0.61,0.425
250,280,x10,0.685,0.475
280,315,x10,0.735,0.525
315,355,x10,0.82,0.59
355,400,x10,0.89,0.66
400,450,x10,0.99,0.74
450,500,x10,1.07,0.82
0,3,x5,0.024,0.02
3,6,x5,0.033,0.028
6,10,x5,0.04,0.034
10,14,x5,0.048,0.04
14,18,x5,0.053,0.045
18,24,x5,0.063,0.054
24,30,x5,0.073,0.064
30,40,x5,0.091,0.08
40,50,x5,0.108,0.097
50,65,x5,0.135,0.122
65,80,x5,0.159,0.146
80,100,x5,0.193,0.178
100,120,x5,0.225,0.21
120,140,x5,0.266,0.248
140,160,x5,0.298,0.28
160,180,x5,0.328,0.31
180,200,x5,0.37,0.35
200,225,x5,0.405,0.385
225,250,x5,0.445,0.425
250,280,x5,0.498,0.475
280,315,x5,0.548,0.525
315,355,x5,0.615,0.59
355,400,x5,0.685,0.66
400,450,x5,0.767,0.74
450,500,x5,0.847,0.82
0,3,x6,0.026,0.02
3,6,x6,0.036,0.028
6,10,x6,0.043,0.034
10,14,x6,0.051,0.04
14,18,x6,0.056,0.045
18,24,x6,0.067,0.054
24,30,x6,0.077,0.064
30,40,x6,0.096,0.08
40,50,x6,0.113,0.097
50,65,x6,0.141,0.122
65,80,x6,0.165,0.146
80,100,x6,0.2,0.178
100,120,x6,0.232,0.21
120,140,x6,0.273,0.248
140,160,x6,0.305,0.28
160,180,x6,0.335,0.31
180,200,x6,0.379,0.35
200,225,x6,0.414,0.385
225,250,x6,0.454,0.425
250,280,x6,0.507,0.475
280,315,x6,0.557,0.525
315,355,x6,0.626,0.59
355,400,x6,0.696,0.66
400,450,x6,0.78,0.74
450,500,x6,0.86,0.82
0,3,x7,0.03,0.02
3,6,x7,0.04,0.028
6,10,x7,0.049,0.034
10,14,x7,0.058,0.04
14,18,x7,0.063,0.045
18,24,x7,0.075,0.054
24,30,x7,0.085,0.064
30,40,x7,0.105,0.08
40,50,x7,0.122,0.097
50,65,x7,0.152,0.122
65,80,x7,0.176,0.146
80,100,x7,0.213,0.178
100,120,x7,0.245,0.21
120,140,x7,0.288,0.248
140,160,x7,0.32,0.28
160,180,x7,0.35,0.31
180,200,x7,0.396,0.35
200,225,x7,0.431,0.385
225,250,x7,0.471,0.425
250,280,x7,0.527,0.475
280,315,x7,0.577,0.525
315,355,x7,0.647,0.59
355,400,x7,0.717,0.66
400,450,x7,0.803,0.74
450,500,x7,0.883,0.82
0,3,x8,0.034,0.02
3,6,x8,0.046,0.028
6,10,x8,0.056,0.034
10,14,x8,0.067,0.04
14,18,x8,0.072,0.045
18,24,x8,0.087,0.054
24,30,x8,0.097,0.064
30,40,x8,0.119,0.08
40,50,x8,0.136,0.097
50,65,x8,0.168,0.122
65,80,x8,0.192,0.146
80,100,x8,0.232,0.178
100,120,x8,0.264,0.21
120,140,x8,0.311,0.248
140,160,x8,0.343,0.28
160,180,x8,0.373,0.31
180,200,x8,0.422,0.35
200,225,x8,0.457,0.385
225,250,x8,0.497,0.425
250,280,x8,0.556,0.475
280,315,x8,0.606,0.525
315,355,x8,0.679,0.59
355,400,x8,0.749,0.66
400,450,x8,0.837,0.74
450,500,x8,0.917,0.82
0,3,x9,0.045,0.02
3,6,x9,0.056,0.028
6,10,x9,0.07,0.034
10,14,x9,0.083,0.04
14,18,x9,0.088,0.045
18,24,x9,0.106,0.054
24,30,x9,0.116,0.064
30,40,x9,0.142,0.08
40,50,x9,0.159,0.097
50,65,x9,0.196,0.122
65,80,x9,0.22,0.146
80,100,x9,0.265,0.178
100,120,x9,0.297,0.21
120,140,x9,0.348,0.248
140,160,x9,0.38,0.28
160,180,x9,0.41,0.31
180,200,x9,0.465,0.35
200,225,x9,0.5,0.385
225,250,x9,0.54,0.425
250,280,x9,0.605,0.475
280,315,x9,0.655,0.525
315,355,x9,0.73,0.59
355,400,x9,0.8,0.66
400,450,x9,0.895,0.74
450,500,x9,0.975,0.82
18,24,y10,0.147,0.063
24,30,y10,0.159,0.075
30,40,y10,0.194,0.094
40,50,y10,0.214,0.114
18,24,y6,0.076,0.063
24,30,y6,0.088,0.075
30,40,y6,0.11,0.094
40,50,y6,0.13,0.114
50,65,y6,0.163,0.144
65,80,y6,0.193,0.174
80,100,y6,0.236,0.214
100,120,y6,0.276,0.254
120,140,y6,0.325,0.3
140,160,y6,0.365,0.34
160,180,y6,0.405,0.38
180,200,y6,0.454,0.425
200,225,y6,0.499,0.47
225,250,y6,0.549,0.52
250,280,y6,0.612,0.58
280,315,y6,0.682,0.65
315,355,y6,0.766,0.73
355,400,y6,0.856,0.82
400,450,y6,0.96,0.92
450,500,y6,1.04,1.0
18,24,y7,0.084,0.063
24,30,y7,0.096,0.075
30,40,y7,0.119,0.094
40,50,y7,0.139,0.114
50,65,y7,0.174,0.144
65,80,y7,0.204,0.174
80,100,y7,0.249,0.214
100,120,y7,0.289,0.254
120,140,y7,0.34,0.3
140,160,y7,0.38,0.34
160,180,y7,0.42,0.38
180,200,y7,0.471,0.425
200,225,y7,0.516,0.47
225,250,y7,0.566,0.52
250,280,y7,0.632,0.58
280,315,y7,0.702,0.65
315,355,y7,0.787,0.73
355,400,y7,0.877,0.82
400,450,y7,0.983,0.92
450,500,y7,1.063,1.0
18,24,y8,0.096,0.063
24,30,y8,0.108,0.075
30,40,y8,0.133,0.094
40,50,y8,0.153,0.114
50,65,y8,0.19,0.144
65,80,y8,0.22,0.174
80,100,y8,0.268,0.214
100,120,y8,0.308,0.254
120,140,y8,0.363,0.3
140,160,y8,0.403,0.34
160,180,y8,0.443,0.38
180,200,y8,0.497,0.425
200,225,y8,0.542,0.47
225,250,y8,0.592,0.52
250,280,y8,0.661,0.58
280,315,y8,0.731,0.65
315,355,y8,0.819,0.73
